종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"270870","뉴트리","우량기업부","8620","0","0.00","8510","8650","8410","29395","251170390","79305930880","9200224"
"144960","뉴파워프라즈마","우량기업부","4810","-50","-1.03","4880","4880","4805","68672","331238010","210161521440","43692624"
"085670","뉴프렉스","중견기업부","7210","-130","-1.77","7210","7320","7100","566052","4066699780","176289986810","24450761"
"064260","다날","우량기업부","4095","-135","-3.19","4195","4215","4095","501807","2079196980","282346318800","68949040"
"340360","다보링크","벤처기업부","2435","-20","-0.81","2455","2550","2365","1153875","2818986765","105650296220","43388212"
"039560","다산네트웍스","벤처기업부","4035","125","3.20","4040","4270","3975","2008857","8244469970","159406633335","39505981"
"154040","다산솔루에타","중견기업부","1765","53","3.10","1712","1823","1706","86455","151544219","31681915910","17950094"
"032190","다우데이타","우량기업부","13450","160","1.20","13210","13450","13040","113792","1506358200","515135000000","38300000"
"068240","다원시스","중견기업부","12980","-50","-0.38","12910","13100","12870","96027","1244415090","444739412260","34263437"
"020400","대동금속","중견기업부","8580","-90","-1.04","8670","8700","8540","16806","144557790","27363044280","3189166"
"008830","대동기어","우량기업부","10190","-280","-2.67","10380","10500","10130","132529","1352583310","91582828800","8987520"
"048470","대동스틸","우량기업부","3740","45","1.22","3680","3765","3660","29372","108998400","37400000000","10000000"
"004780","대륙제관","우량기업부","4065","0","0.00","4065","4080","4040","4460","18093945","64646503935","15903199"
"017650","대림제지","우량기업부","8510","-30","-0.35","8560","8560","8410","4180","35461510","76590000000","9000000"
"007720","대명소노시즌","중견기업부","559","0","0.00","553","564","553","45846","25637091","56347451550","100800450"
"389260","대명에너지","중견기업부","11380","-220","-1.90","11600","11650","11290","43280","490990340","194029000000","17050000"
"317850","대모","벤처기업부","9660","270","2.88","10100","10900","9620","4768858","48925616370","80413897200","8324420"
"290670","대보마그네틱","우량기업부","30250","-600","-1.94","30550","30700","30150","32405","983600350","237694215000","7857660"
"078140","대봉엘에스","우량기업부","11240","-110","-0.97","11150","11700","11020","1126668","12794752400","124613147960","11086579"
"065150","대산F&B","투자주의환기종목(소속부없음)","206","6","3.00","201","233","200","1056446","227067740","25808175430","125282405"
"036480","대성미생물","중견기업부","10300","10","0.10","10310","10350","10210","8105","83249120","39140000000","3800000"
"027830","대성창투","중견기업부","1986","-39","-1.93","2000","2040","1971","673321","1344953365","107244000000","54000000"
"104040","대성파인텍","벤처기업부","1006","13","1.31","995","1018","991","129622","129640096","31489088686","31301281"
"129920","대성하이텍","벤처기업부","5610","-90","-1.58","5650","5700","5580","40889","229409080","76941447330","13715053"
"438220","대신밸런스제13호스팩","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","12831000000","5640000"
"442310","대신밸런스제14호스팩","SPAC(소속부없음)","2245","0","0.00","2245","2250","2215","11981","26721575","15063950000","6710000"
"457390","대신밸런스제15호스팩","SPAC(소속부없음)","2190","-5","-0.23","2195","2195","2190","4560","9998160","15406650000","7035000"
"457630","대신밸런스제16호스팩","SPAC(소속부없음)","2620","0","0.00","0","0","0","0","0","19152200000","7310000"
"471050","대신밸런스제17호스팩","SPAC(소속부없음)","2300","0","0.00","2295","2320","2290","29325","67428910","13938000000","6060000"
"020180","대신정보통신","중견기업부","1112","15","1.37","1097","1140","1087","130337","143568955","42732953480","38428915"
